gender,gender_value,age,university,degree_level,degree_major,academic_year,academic_value,cgpa,cgpa_value,residential_status,residental_value,campus_discrimination,campus_value,sports_engagement,sports_value,average_sleep,sleep_value,study_satisfaction,academic_workload ,academic_pressure,financial_concerns,social_relationships,depression,anxiety,isolation,future_insecurity,stress_relief_activities,Item1,Item2,Item3,Item4,Item5,Item6
Male,2,18,PU,Undergraduate,Data Science,1st year,1,0.0-0.0,1,Off-Campus,2,No,1,7+ times,4,7-8 hrs,3,Satisfied,High,High,High,Very High,Medium,Medium,Very Low,Medium,Sports and Fitness,Sports and Fitness,,,,,
Male,2,21,PU,Undergraduate,Software Engineering,4th year,4,3.5-4.0,6,Off-Campus,2,Yes,2,1-3 times,2,4-6 hrs,1,Neutral,High,Very High,High,Medium,Very High,Very High,Very High,Very High,"Religious Activities, Sports and Fitness, Creative Outlets, Online Entertainment",Religious Activities,Sports and Fitness,Creative Outlets,Online Entertainment,,
Male,2,20,PU,Undergraduate,Data Science,3rd year,3,3.5-4.0,6,Off-Campus,2,Yes,2,No Sports,1,7-8 hrs,3,Satisfied,High,Medium,Very Low,Very Low,Medium,Medium,Very High,Low,Online Entertainment,Online Entertainment,,,,,
Male,2,19,PU,Undergraduate,Computer Science,1st year,1,2.0-2.5,3,On-Campus,1,No,1,1-3 times,2,4-6 hrs,1,Very Satisfied,High,Very High,Very High,Very Low,Medium,High,Very High,Very Low,"Sports and Fitness, Creative Outlets, Social Connections, Outdoor Activities, Sleep",Sports and Fitness,Creative Outlets,Social Connections,Outdoor Activities,Sleep,
Male,2,20,PU,Undergraduate,Data Science,2nd year,2,3.0-3.5,5,On-Campus,1,No,1,No Sports,1,4-6 hrs,1,Very Satisfied,Medium,Very Low,Very High,Medium,Very Low,Very Low,Low,Very Low,Religious Activities,Religious Activities,,,,,
Male,2,21,PU,Undergraduate,Data Science,2nd year,2,3.5-4.0,6,On-Campus,1,No,1,1-3 times,2,4-6 hrs,1,Very Satisfied,High,Medium,High,Very High,Low,Low,Low,Medium,"Religious Activities, Social Connections, Online Entertainment, Sleep",Religious Activities,Social Connections,Online Entertainment,Sleep,,
Male,2,17,PU,Undergraduate,Information Technology,1st year,1,0.0-0.0,1,Off-Campus,2,No,1,7+ times,4,7-8 hrs,3,Neutral,Very High,Very High,Very Low,Medium,High,High,High,Very High,Outdoor Activities,Outdoor Activities,,,,,
Male,2,18,PU,Undergraduate,Information Technology,1st year,1,0.0-0.0,1,Off-Campus,2,No,1,7+ times,4,7-8 hrs,3,Very Satisfied,Medium,High,Medium,Very High,Medium,Medium,Medium,Very Low,"Religious Activities, Sports and Fitness, Social Connections",Religious Activities,Sports and Fitness,Social Connections,,,
Male,2,18,PU,Undergraduate,Information Technology,1st year,1,0.0-0.0,1,Off-Campus,2,No,1,1-3 times,2,4-6 hrs,1,Very Satisfied,Very High,Medium,Low,Very Low,Low,High,Very High,Low,"Social Connections, Online Entertainment, Sleep",Social Connections,Online Entertainment,Sleep,,,
Male,2,22,VU,Undergraduate,Software Engineering,4th year,4,3.0-3.5,5,Off-Campus,2,No,1,1-3 times,2,7-8 hrs,3,Satisfied,High,Medium,Very High,Very Low,Medium,Medium,High,Very Low,"Religious Activities, Sports and Fitness, Outdoor Activities",Religious Activities,Sports and Fitness,Outdoor Activities,,,
Male,2,21,PU,Undergraduate,Data Science,2nd year,2,2.5-3.0,4,On-Campus,1,Yes,2,4-6 times,3,4-6 hrs,1,Neutral,High,Very High,Medium,High,Very Low,Very Low,Very Low,Very Low,"Religious Activities, Social Connections",Religious Activities,Social Connections,,,,
Male,2,20,COMSATS,Undergraduate,Computer Science,3rd year,3,3.5-4.0,6,Off-Campus,2,Yes,2,4-6 times,3,7-8 hrs,3,Satisfied,Medium,Very High,Medium,Medium,High,High,High,High,Outdoor Activities,Outdoor Activities,,,,,
Male,2,20,PU,Undergraduate,Data Science,1st year,1,0.0-0.0,1,On-Campus,1,No,1,No Sports,1,4-6 hrs,1,Satisfied,High,High,Very High,Low,Medium,Low,High,Low,Sleep,Sleep,,,,,
Male,2,20,PU,Undergraduate,Data Science,2nd year,2,3.5-4.0,6,Off-Campus,2,No,1,4-6 times,3,7-8 hrs,3,Very Satisfied,Low,Low,Very Low,Medium,Very Low,Very Low,Very Low,Very Low,"Religious Activities, Social Connections",Religious Activities,Social Connections,,,,
Male,2,21,FAST,Undergraduate,Data Science,3rd year,3,2.0-2.5,3,Off-Campus,2,No,1,1-3 times,2,7-8 hrs,3,Neutral,Very High,High,Very Low,Medium,Low,Low,High,High,"Religious Activities, Sports and Fitness",Religious Activities,Sports and Fitness,,,,
Male,2,21,FAST,Undergraduate,Computer Science,3rd year,3,2.5-3.0,4,Off-Campus,2,No,1,4-6 times,3,7-8 hrs,3,Satisfied,High,High,Low,High,Low,Low,Low,Medium,Outdoor Activities,Outdoor Activities,,,,,
Male,2,20,COMSATS,Undergraduate,Computer Science,3rd year,3,3.0-3.5,5,Off-Campus,2,No,1,1-3 times,2,4-6 hrs,1,Neutral,High,Medium,High,Very Low,Very Low,Low,Very Low,Medium,"Religious Activities, Social Connections, Online Entertainment",Religious Activities,Social Connections,Online Entertainment,,,
Male,2,20,UMT,Undergraduate,Computer Science,3rd year,3,3.5-4.0,6,Off-Campus,2,No,1,7+ times,4,7-8 hrs,3,Very Satisfied,Medium,High,Medium,Low,High,High,High,Very High,"Religious Activities, Sports and Fitness, Social Connections, Online Entertainment, Outdoor Activities, Sleep",Religious Activities,Sports and Fitness,Social Connections,Online Entertainment,Outdoor Activities,Sleep
Female,1,19,PU,Undergraduate,Computer Science,2nd year,2,3.0-3.5,5,Off-Campus,2,No,1,No Sports,1,7-8 hrs,3,Satisfied,Medium,Medium,Medium,Medium,High,High,Medium,Low,"Religious Activities, Social Connections, Sleep",Religious Activities,Social Connections,Sleep,,,
Male,2,20,COMSATS,Undergraduate,Computer Science,3rd year,3,2.5-3.0,4,Off-Campus,2,Yes,2,1-3 times,2,4-6 hrs,1,Neutral,High,High,Very High,Medium,Very High,Very High,Very High,High,"Religious Activities, Sports and Fitness, Creative Outlets, Online Entertainment",Religious Activities,Sports and Fitness,Creative Outlets,Online Entertainment,,
Male,2,20,UMT,Undergraduate,Computer Science,3rd year,3,3.5-4.0,6,On-Campus,1,No,1,No Sports,1,7-8 hrs,3,Neutral,Medium,High,Very High,Medium,High,High,High,High,Social Connections,Social Connections,,,,,
Male,2,20,FAST,Undergraduate,Computer Science,3rd year,3,2.5-3.0,4,Off-Campus,2,No,1,1-3 times,2,4-6 hrs,1,Satisfied,Very High,Very High,Very Low,Very High,Medium,High,Very Low,Very Low,"Religious Activities, Sports and Fitness, Social Connections, Sleep",Religious Activities,Sports and Fitness,Social Connections,Sleep,,
Male,2,20,FAST,Undergraduate,Computer Science,3rd year,3,3.5-4.0,6,On-Campus,1,No,1,No Sports,1,4-6 hrs,1,Satisfied,Very High,Very High,Medium,Medium,Low,Low,Medium,Medium,"Religious Activities, Social Connections, Online Entertainment, Sleep",Religious Activities,Social Connections,Online Entertainment,Sleep,,
Male,2,20,FAST,Undergraduate,Computer Science,3rd year,3,2.5-3.0,4,On-Campus,1,No,1,7+ times,4,4-6 hrs,1,Satisfied,Very High,Very High,Very High,High,Medium,High,Low,Medium,"Social Connections, Sleep",Social Connections,Sleep,,,,
Male,2,19,UOL,Undergraduate,Computer Science,3rd year,3,2.5-3.0,4,Off-Campus,2,Yes,2,4-6 times,3,7-8 hrs,3,Neutral,Low,High,High,High,Very Low,Very Low,Medium,Medium,Outdoor Activities,Outdoor Activities,,,,,
Male,2,22,UET,Undergraduate,Computer Science,3rd year,3,2.5-3.0,4,Off-Campus,2,No,1,No Sports,1,4-6 hrs,1,Satisfied,High,Very High,High,Medium,High,High,High,Very High,Religious Activities,Religious Activities,,,,,
Male,2,20,UET,Undergraduate,Computer Science,3rd year,3,3.0-3.5,5,Off-Campus,2,No,1,7+ times,4,7-8 hrs,3,Satisfied,Low,Medium,High,Low,Medium,Medium,High,Medium,"Religious Activities, Sports and Fitness, Sleep",Religious Activities,Sports and Fitness,Sleep,,,
Female,1,20,UET,Undergraduate,Computer Science,3rd year,3,3.5-4.0,6,Off-Campus,2,No,1,No Sports,1,4-6 hrs,1,Very Satisfied,High,Very High,High,Very Low,High,Very High,Very High,High,Online Entertainment,Online Entertainment,,,,,
Female,1,19,UET,Undergraduate,Computer Science,3rd year,3,3.0-3.5,5,On-Campus,1,No,1,No Sports,1,4-6 hrs,1,Neutral,Very High,Very High,Medium,Medium,Very High,Very High,Medium,Very High,Sleep,Sleep,,,,,
Male,2,21,PU,Undergraduate,Data Science,1st year,1,3.5-4.0,6,Off-Campus,2,No,1,7+ times,4,7-8 hrs,3,Very Satisfied,Medium,Medium,Low,High,Very Low,Very Low,Low,Low,"Religious Activities, Social Connections",Religious Activities,Social Connections,,,,
Male,2,26,KUST,Undergraduate,Data Science,4th year,4,3.5-4.0,6,Off-Campus,2,Yes,2,1-3 times,2,7-8 hrs,3,Very Satisfied,Very High,Very Low,Very High,Very Low,Very High,Very High,Medium,Very High,"Creative Outlets, Social Connections, Online Entertainment",Creative Outlets,Social Connections,Online Entertainment,,,
